Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
lux-g001,90.7632892459403,-95.17556288693224,471,.745,.346,.399,.276,42,6
bellc002,97.4850140608658,-120.56986357860873,550,.654,.265,.389,.210,68,19
muncm001,104.8090140593343,-103.9801200340695,565,.713,.329,.384,.196,69,21
lambj001,16.54837318637918,-25.694812727954034,111,.707,.315,.392,.216,6,3
mckiz001,32.61621837116318,-33.96508253865848,185,.634,.273,.361,.199,14,5
tavel001,56.93281983048874,-64.95359052306061,341,.675,.309,.366,.261,34,5
durae002,35.17942373071888,-46.20928488074518,220,.642,.277,.365,.236,25,5
smitj007,34.27600984143526,-40.481056084126024,253,.556,.307,.249,.197,16,2
sierm002,12.26419268763844,-17.36845574007249,96,.442,.200,.242,.165,5,0
herne003,4.167396060927375,-7.8626085501267875,35,.442,.200,.242,.182,3,0
gossp001,6.799770775933499,-17.56121859509573,77,.358,.182,.176,.149,2,0
solan001,15.604909434129649,-18.589133932819813,95,.638,.309,.329,.207,4,3
vilom001,9.795890373944156,-13.60892822633556,75,.550,.280,.270,.159,5,2
bridj001,21.687424832859136,-37.76365309453097,187,.548,.301,.247,.204,6,1
piscs001,18.62038361819982,-25.520049224029002,139,.593,.252,.341,.190,14,5
garcd004,24.855431758997355,-23.465909835012155,125,.652,.264,.388,.207,20,5
bolts001,19.481964854842158,-21.494584822205066,116,.589,.259,.330,.198,13,4
monim001,12.81185171403687,-22.937946185272395,112,.509,.207,.302,.170,8,3
machv001,35.20742668697581,-37.24283129657043,253,.587,.300,.287,.220,13,1
vogts001,26.203326724928782,-36.19021444849043,191,.562,.241,.321,.161,23,7
buxtb001,70.09567695229772,-68.8670881599312,382,.832,.306,.526,.224,51,28
corrc001,111.57183227978764,-98.64003624274221,590,.833,.366,.467,.291,64,22
miraj002,91.28725281726044,-98.08231681073387,483,.751,.325,.426,.268,66,15
polaj001,83.4236732683625,-73.34973969175738,445,.751,.346,.405,.235,56,16
arral001,104.46635267429893,-89.07924742941819,603,.795,.375,.420,.316,49,8
urshg001,97.73079272260881,-104.86215495216231,551,.767,.338,.429,.285,64,13
celeg001,47.057178861924186,-65.22509351370223,347,.615,.313,.302,.238,24,2
keplm001,70.67663061867421,-79.01268490442838,446,.666,.318,.348,.227,43,9
leons001,10.672577824996175,-16.750907540628315,86,.509,.298,.211,.169,4,0
duggs001,8.747936259074427,-18.06250158649737,80,.447,.225,.222,.153,4,0
sancg002,79.34887562774225,-88.86843395008466,471,.659,.282,.377,.205,61,16
cavej001,29.58622324689613,-33.910306273455284,177,.644,.260,.384,.213,20,5
beckt001,1.321757970924428,-5.9814669979939294,25,.160,.080,.080,.080,1,0
gordn001,81.10235817328225,-73.32609970267137,443,.743,.316,.427,.272,50,9
frant002,117.00882306349106,-97.36411433291205,613,.774,.338,.436,.274,83,20
hanim001,45.90078716338692,-42.39033178955119,247,.737,.308,.429,.246,34,11
haggs001,37.73448417296343,-36.74259327594894,201,.738,.335,.403,.256,23,5
casac001,25.07873531836157,-35.217560487290584,176,.649,.318,.331,.203,17,5
lemad001,99.31164274064604,-87.19503893732855,541,.734,.357,.377,.261,46,12
judga001,190.30843113678353,-114.02652998237244,696,1.111,.425,.686,.311,131,62
stanm004,92.81902931835424,-87.62070532904579,452,.759,.297,.462,.211,78,31
torrg001,117.79713689114496,-122.57118437070396,572,.761,.310,.451,.257,76,24
rizza001,115.87988696869004,-102.86586846161374,548,.818,.338,.480,.224,75,32
fordm002,21.7472945199527,-25.91052660111487,149,.615,.302,.313,.206,10,3
trevj001,62.80847550800248,-64.06608944834326,353,.671,.283,.388,.248,43,11
kinei001,93.36968013771907,-101.28179158431733,531,.641,.314,.327,.261,48,4
cabro002,33.74214833403512,-28.56241118777331,171,.741,.312,.429,.247,19,6
donaj001,89.64695589335356,-104.7211368383955,546,.682,.308,.374,.222,62,15
higak001,37.7384318868128,-48.68296537256475,248,.653,.264,.389,.227,31,10
hicka001,77.83515542904883,-93.27523468233134,453,.643,.330,.313,.216,40,8
diazy004,1.3146521578146213,-2.0079722277939607,9,.472,.222,.250,.125,1,0
aguir002,2.079895111185803,-5.003244143656832,26,.413,.231,.182,.136,2,0
hensd002,8.392204254814468,-5.538125781035852,34,1.027,.441,.586,.345,5,1
greer003,76.39509060013481,-75.85542266069791,418,.683,.321,.362,.253,42,5
castw003,62.79138883531316,-74.59405455528608,392,.651,.284,.367,.241,31,8
baezj001,99.4795884973999,-114.65502502260156,590,.671,.278,.393,.238,67,17
haase001,61.34673194419886,-65.18705454775584,351,.748,.305,.443,.254,44,14
casth001,75.33386662106368,-75.37344231047535,443,.681,.300,.381,.271,47,7
torks001,56.054868411255896,-82.0615025330139,404,.604,.285,.319,.203,28,8
carpk001,19.148984890838545,-21.57041196064445,113,.795,.310,.485,.252,10,6
kreir001,8.584289157777922,-13.397453925324262,84,.477,.244,.233,.178,6,1
reyev001,54.95934090913967,-63.00021990146717,336,.651,.289,.362,.254,34,3
lestj002,0,-0.8308638635012207,5,.000,.000,.000,.000,0,0
clemk001,17.553561443030475,-24.850128274649286,127,.505,.197,.308,.145,17,5
barnt001,41.88983159807496,-55.05376881473988,308,.554,.287,.267,.221,16,1
badda001,29.382379526580312,-41.91419122008542,225,.558,.289,.269,.204,9,2
candj002,76.70701668195849,-86.39855875544369,467,.633,.272,.361,.217,50,13
sotol001,13.634937497586781,-9.175575915718737,59,.996,.414,.582,.400,9,1
diazj008,4.773781511629278,-9.05886322588182,51,.621,.294,.327,.265,1,0
langs001,29.096857425009844,-28.985432140418556,153,.691,.261,.430,.218,22,6
capec001,11.72716460118902,-9.22103007059492,59,.875,.356,.519,.308,11,3
ohopl001,3.711900894045589,-3.4825712272313667,16,.661,.375,.286,.286,2,0
jungj001,17.332037670957675,-22.231299264290936,102,.653,.235,.418,.204,14,5
mathm002,21.819115105149308,-15.27434652058542,91,.825,.319,.506,.247,20,6
thomb003,30.021055408516876,-32.4258839723292,181,.614,.302,.312,.265,9,1
nolaa002,65.90465231629284,-71.24747100620692,397,.650,.321,.329,.251,40,4
machm001,148.32600365011672,-110.8776979330936,644,.897,.366,.531,.298,102,32
cronj001,130.97491468480317,-111.88517061223266,684,.722,.332,.390,.239,88,17
varsd001,113.19546769428383,-113.8293311717534,592,.745,.302,.443,.235,74,27
martk001,95.0550738306101,-107.80956990529369,558,.728,.321,.407,.240,52,12
perad001,89.83978572138706,-93.29976011738026,490,.731,.316,.415,.251,59,12
walkc002,147.355765031722,-131.3281578762134,667,.804,.327,.477,.242,94,36
